Başlık, Vücut Kimliği, Duruş
 Meksika'nın Iguala kentindeki toplu mezarlarda kayıp öğrenciler mi bulundu?,1405,0
 Macaulay Culkin Öldü mü?,1174,0
" Feminist, Erkek Olduğu İçin Bebeğini Kürtaj Ettirdi, İnsanlar Onaylamıyor",228,1
 CARLISLE BAŞ TOKATÇISI HAPŞIRAN KADINLARA SALDIRIYOR,1839,1
 Kayıp Libya jet uçakları 11 Eylül'de terör saldırısı korkusunu artırıyor,1515,1
" Video Mesajlaşma Uygulaması, Michael Brown'ın Vurulmasıyla İlgili Ses Kaydının Gerçek Olduğunu Söylüyor",2118,0
 Comcast'ın Kendisini Kovulmasına Neden Olduğunu Söyleyen Adam Dava Açtı,2438,0
" SON DAKİKA HABERİ: Beyzbol yıldızı Jose Canseco, kazara vurularak yaralandı",2000,0
" IŞİD, kurbanları terörize etmek için 'AKREP bombaları' kullanıyor",1474,1
" Kuzey Kore diktatörü Kim Jong-un, askeri tur sırasında iki ayağını kırdıktan sonra ameliyat oldu",2053,1
 Nikaragua meteor iddiasına şüpheyle yaklaşılıyor,1594,1
 iOS 8 hatası iCloud Drive belgelerinizi silebilir,2423,1
 Haber siteleri Putin'in kuş düşürme videosuna kandı,1813,0
" İtalya'da yakalanan 8 fit 9 inç boyundaki ve 19 taş ağırlığındaki dev yayın balığının, olta ve misinayla şimdiye kadar yakalanan en büyük yayın balığı olduğu düşünülüyor",2196,1
Rusya'daki havaalanında bir havaalanı çalışanı soyundu,1733,1
 SON DAKİKA: IŞİD Amerikalı Gazeteci James Wright Foley'i Başını Kesti,1966,1
 Videonun Amerikalı Gazetecinin Başının Kesilmesini Gösterdiği İddia Ediliyor,2450,0
" ABD, IŞİD militanlarının Kürtlere yönelik havadan atılan silahları ele geçirdiğini iddia ediyor",14,0
 Conde Nast'ın One World Trade Center'daki fare sorunu: Kırmızı halılardan kemirgen dışkılarına,2263,1
" Obama, Başının Kesilmesinden Öfkelendi, Yola Devam Etme Sözü Verdi",2047,0
" İZLE: Bird, Putin'in Omzuna Hava Saldırısı Başlattı (GÜNCELLENDİ)",2174,1
 Ateşkes iddiasına rağmen Nijerya Boko Haram baskınlardan sorumlu tutuldu,1195,0
" ESPN, NFL'nin imajını tamamen erkeklerden oluşan aile içi şiddet tartışmasıyla kurtaracak",2181,-1
" Pantolon Ateşi: Duncan Hunter, Sınır Devriyesinin en az 10 IŞİD savaşçısını yakaladığını doğrulanmamış bir iddiada bulundu",1185,0
 13 yaşında yedi kız çocuğu okul gezisinde hamile kalıyor,2097,1
 Nijerya Boko Haram ile ateşkes ilan etti; kız öğrencilerin kaderi belirsiz,1630,0
 IRAK SAĞLIK YETKİLİSİ: EBOLA 5 IŞİD SAVAŞÇISINI ÖLDÜRDÜ,1122,0
 Macaulay Culkin Öldü: Oyuncu Bir Kez Daha Ölüm Sahtekarlığının Kurbanı Oldu,198,1
"'Star Wars VII' Haberleri, Güncelleme: JJ Abrams Filmin Yaz Aylarında Vizyona Girmesini Mi İstiyor?",1393,0
" IŞİD, ABD'li gazetecinin kafasını kestiğini iddia ediyor",1966,0
 NBC hava durumu sunucusu canlı yayında ormanda idrar yaparken yakalandı,2034,-1
" Kim Yo-Jong, Kim Jong Un'un Yerini mi Aldı? Kardeşi Tıbbi Tedavi Görürken Kız Kardeşi Kuzey Kore Devlet Görevlerini Üstlendi",1294,0
 “Axl Rose 2014'te öldü”: Guns N' Roses'ın solisti internetteki ölüm yalanıyla öldürüldü,1085,1
 IŞİD'in baş kesmesini gösteren video uluslararası tepkiye yol açtı,2440,0
 Dikkat çekici! Anna Wintour'un 'fare istilasına uğramış' Vogue ofisinden ayrılırken markalı güneş gözlükleri olmadan nadir görülen bir görüntü,2520,0
 IŞİD Militanlarının Ebola'ya Yakalandığı İddia Edildi,1904,0
 Meksika protestosunda 40 öğrencinin kaybolmasının ardından toplu mezar bulundu,537,0
