Class	Text
0	@ABC Stupid is as stupid does! Showedhis true colors; seems that he ignores that US was invaded, & plundered,not discovered #SemST
1	Donald Trump isn't afraid to roast everyone. #SemST
1	Donald Trump for president? I can dig it. #SemST
1	@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump.. #SemST
1	Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST
1	@realDonaldTrump I like Mexicans who come to US legally. #IStandWithTrump #SemST
1	We need Obama out and @realDonaldTrump in the White House ASAP #SemST
0	Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST
0	Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States. #SemST
0	.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired #SemST
0	@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA! #SemST
1	#presidentialelection2016 Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST
0	@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need. #SemST
0	RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino. #SemST
0	@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST
1	Trump for prez he couldn't do any worse so give him a shot #SemST
1	@realDonaldTrump No more Bush or Hillary Clinton #SemST
1	Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident #SemST
0	The moment you opened your mouth, that was the end of your candidate trip! @realDonaldTrump #SemST
0	And how many #latinos enemies you gained in 1 week? 50 million!! @realDonaldTrump #SemST
0	If my only impression of the US was Donald Trump, I think I would hate it. #SemST
0	You're combover looks like the cupacabra Guillermo @jimmykimmel so funny #SemST
1	@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test. #SemST
1	@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident #SemST
1	Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules #SemST
0	Unfounded data/support for such drastic claims to be made against Mexico & all its ppl sorry guys I guess I rape & sell drugs #SemST
1	I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full. #SemST
1	@realDonaldTrump Go get 'em Mr. Trump!!! #SemST
1	A vote against Trump is a vote against America #SemST
1	RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST
0	I really hope @realDonaldTrump doesn't combover and shoot me with the pistol he's constantly packing.. #SemST
0	For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST
1	@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST
1	@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING #SemST
1	@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST
1	Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump #SemST
1	@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that. #SemST
1	hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #SemST
0	Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something. #SemST
1	@realDonaldTrump we need a president who cannot be bought. #SemST
1	I admire how real and unapologetic Donald Trump is on his Political standpoints #SemST
0	@realDonaldTrump Probably because @jorgeramosnews had to change it after you published his old one on Instagram #TrumptheChump #SemST
1	RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote. #SemST
1	@realDonaldTrump I feel the train is gaining steam. #SemST
1	@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader #SemST
1	@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General. #SemST
1	Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica #SemST
