Class,Text
1,"We cant deny it, its really happening. #SemST"
1,RT @cderworiz: Timelines are short. Strategy must be in place by climate change conference in Paris by December. #ableg #SemST
1,SO EXCITING! Meaningful climate change action is on the way! #abpoli #GHG #SemST
1,"Delivering good jobs for Albertans, maintaining a stable economy & meeting climate change strategy. Good goals. #abpoli #GHG #SemST"
1,@davidswann says he wants carbon fund to be spent on public transportation and renewable energy. #ejlive #ableg #SemST
1,Questions about the @LancetGH report? #asklancet tweet chat happening now! #actonclimate #ClimateHealth #SemST
1,We are working to elect climate-friendly governments across North America #FeelTheBern #NDP #LPC #GPC #BQ #HARPERPAC.CA #SemST
1,@ChrisLeinberger : change from #drivable to #walkable = #1 benefit 4 #APANE2015 #SemST
1,"Our amazing #ESS15 panel @gkremen, @SuffolkBuilds, @maxfieldweiss & @Oakland on how to prepare & protect #BayArea region from #SemST"
0,The Climate Change people are disgusting assholes. Money transfer scheme for elite. May you rot. #SemST
1,srsly weirds me out i have to wear #sunscreen for the morning #dogwalk getting a #tan at 9am? #wtf #SemST
1,RT @GreenLivingGB: @earthhour Looks like a great event. Green is the way forward! #SemST
1,There use to be a glacier on the equator. #SemST
1,#PathtoPositive #LA region's green leaders United to find local solutions to #LACityHall #SemST
1,@MonsterMarcia Kudos to these young people! Next generation of activists! #OnlyOneEarth #SemST
1,"Macro problems face us all, but people focus on micro problems because they are within our immediate power to fix #SemST"
1,Drought effects spreading in western NorAm and BC Gov't will destroy prime farmland to enable more #LNG #SiteC #bcpoli #SemST
1,@RegimeChangeBC @ndnstyl It's sad to be the last generation that could change but does nothing. #Auspol #SemST
1,Go Dutch New meaning: citizens take their governments to court to make them act on climate promises #Hague #Hope #COP21 #SemST
1,Thank you @GreenpeaceNZ for getting out there yesterday and highlighting one of the most important issues we are facing. #SemST
1,"Isn't CO2 impact on warming logarithmic, and at current levels, 390 ppm, incremental impact negligible? #NDP #SemST"
1,Is the new Pahiatua plant going to be primarily coalfired? Large companies like @Fonterra should be taking the lead against #SemST
1,#Mission:#Climate @ home > Buy drinking water & soda in big bottles... #Tip #SemST
1,"If you have any remaining doubts about climate change, go watch @chasingice on Netflix and proceed to shitting your pants. #SemST"
1,"When debunking climate myths: fight sticky myths with stickier facts, mention the myth and explain the fallacy! #SemST"
1,@MarkRuffalo @flea333 @kellyslater unfortunate how USA refuses to take seriously damage we're responsible for #SaveTheEarth #SemST
1,Why all talks #Rainforests? 1/6 of the World Russia is not less important ! #DoctorCarbon Advocate #sustainability ! #SemST
