Headline,Body ID,Stance
"Are missing students in mass graves found near Iguala, Mexico?",1405,0
Macaulay Culkin Dead?,1174,0
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",228,1
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,1839,1
Missing Libyan jetliners raise fears of terror attacks on 9/11,1515,1
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2118,0
The Man Who Says Comcast Got Him Fired Has Filed a Lawsuit,2438,0
BREAKING NEWS: Baseball star Jose Canseco hurt in accidental shooting,2000,0
Islamic State using 'SCORPION bombs' to terrorise victims,1474,1
North Korea dictator Kim Jong-un undergoes surgery after breaking both ankles on military tour,2053,1
Doubts cast over Nicaragua meteorite claim,1594,1
iOS 8 bug could delete your iCloud Drive documents,2423,1
News sites fall for Putin bird-dropping video,1813,0
Giant 8ft 9in catfish weighing 19 stone caught in Italy is thought to be the biggest ever reeled in with a rod and line,2196,1
Airport worker strips naked at Russian airport,1733,1
BREAKING: ISIS Beheads American Journalist James Wright Foley,1966,1
Video Purports to Show Beheading of American Journalist,2450,0
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,14,0
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,2263,1
"Obama, Outraged Over Beheading, Vows to Stay on Course",2047,0
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),2174,1
Nigeria Boko Haram blamed for raids despite truce claim,1195,0
ESPN to save NFL's image with all-male domestic abuse discussion,2181,-1
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,1185,0
Seven girls as young as 13 become pregnant on a school trip,2097,1
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,1630,0
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,1122,0
Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax,198,1
"'Star Wars VII' News, Update: JJ Abrams Pushing for Summer Release?",1393,0
Isis claims to behead US journalist,1966,0
NBC weatherman caught urinating in the woods live on air,2034,-1
Has Kim Yo-Jong Taken Over For Kim Jong Un? Sister Assumes North Korea State Duties While Brother Undergoes Medical Treatment,1294,0
“Axl Rose dead 2014” : Guns N' Roses frontman killed by internet death hoax,1085,1
ISIS video showing beheading triggers international response,2440,0
Eye-catching! Rare sighting of Anna Wintour without her trademark sunglasses as she leaves 'rat-infested' Vogue office,2520,0
ISIS Militants Allegedly Contracted Ebola,1904,0
Mass grave found after 40 students disappear in Mexican protest,537,0
#RIPFidel fuels false rumors of Cuban leader's death after another Fidel Castro dies,2251,0
US confirms death of Somalia terror group leader,839,1
"What We Know About Kim Yo Jong, Who May Control North Korea",2470,0
World's oldest burger,2474,1
Islamist websites claim Israeli-Canadian woman kidnapped by IS: report,1862,0
"Don't Worry, 'The Breakfast Club' Star Judd Nelson Is Not Dead",2286,1
Apple Watch won’t be the digital doctor it could have been,1788,0
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",2266,0
"No, there aren’t any Ebola cases in Iraq",2180,1
Rodney Constantine keeps Facebook promise and turns himself in to police,2164,1
