Class	Text
0	Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST
0	Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST
0	I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST
0	we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST
0	PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN Life begins at conception #SemST
0	I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST
0	I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST
0	In so many ways to Christians right here in America we already ARE the "Great Satan" #GayMarriage #Drugs #WakeUpAmerica #SemST
0	Pray for the Navy yard. God please keep the casualties minimal. #1A #2A #NRA #COS #CCOT #TGDN #PJNET #WAKEUPAMERICA #SemST
0	I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST
0	The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST
0	The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST
0	#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST
0	Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST
0	@notmuchelse Giving birth is not pushing women toward death. #SemST
0	I am about to deck these 2 bitches in the fucking mouth. #1A #2A #NRA #COS #CCOT #TGDN #PJNET #WAKEUPAMERICA #SemST
0	If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET #WAKEUPAMERICA #SemST
0	It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST
0	Why would I want to make choices about my own body, when a congressman could do it for me? #ConversationsWithAlex #SemST
0	Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST
0	It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures. #ProLifeYouth #SemST
0	The idea that a "fetus" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST
0	@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST
1	@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST
1	Anti choice laws are sexist because they only effect women*. #SemST
1	So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body. #SemST
0	Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST
1	Not all women want to have or bear children, and that is okay #SemST
0	Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST
0	If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST
0	#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST
0	Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST
0	When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST
0	Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST
0	@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST
0	Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST
0	Damn, interesting news when you find out you were almost a product of abortion #SemST
0	Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST
0	Every1 needs 2 c @Rick_Reyna & @rallysforchrist's movie #TheRallyLA. It's life transforming. #drugs #forgive #SWBC2015 #Salvation #SemST
0	@VeronicaCoffin @Fingersflying the irony of Margaret Sanger wanting to rid the world of blacks. #SemST
0	#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST
0	I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST
0	En route to Parnell Square for the rally for life!! #everylifematters #SemST
0	@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST
0	@ProWomanChoice @BuhayIpaglaban people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic #SemST
0	A bundle of cells feels more pain than a fully grown women? no. #SemST
0	pro-choicers are basically tryna fight oppression with more oppression . #feminist #SemST
0	#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST
0	As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST
0	Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST
0	#rally4life because if they don't want an abortion, then no one can have the choice #SemST
0	@MikeDury And don't forget, now "Private clubs" and organizations. AKA ~> #GirlScouts & #SemST
0	So you're at the #rally4life? Tell me more about how #antichoice laws kill 47,000 women A YEAR! Very "#prolife" uh? #REpealThe8th #SemST
0	Solidarity with all at the counter #rally4life - Ireland won't be equal until women have full control of our bodies #repealthe8th #SemST
0	This #rally4life shit! How people support it I'll never understand. #SemST
0	Dear to who it may concern;"YOU stand up for my right to live. #Baby #murder #RightToLife #unborn #womensrights #legal #SemST
0	AmandaKayHowell: Dear to who it may concern;"YOU stand up for my right to live. #Baby #murder #RightToLife #unborn #wo... #SemST
0	@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST
0	The #rally4life shows yet again what little support these people have. #repealthe8th #SemST
0	CPCs in this town of 5000: 2. #goddamn #SemST
0	A prochoice advocate but circumcise ur baby? Fucking hypocrite! #circumcision #humanrights #SemST
0	I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure #SemST
0	There is nothing sadder than pro-life young women. I can't help but pity the fools. #repealthe8th #SemST
0	@JaxLeSigh @ProWomanChoice u dont know using #NaturalFamilyPlanning will not have the same effect as birth spacing? #SemST
0	@JaxLeSigh @ProWomanChoice ur not aware that using #NaturalFamilyPlanning will have d same effect as birth spacing? #SemST
0	@BuhayIpaglaban @blueskies366 Remember that there is no "murder" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST
0	@BuhayIpaglaban @blueskies366 thank you again to show that you are AGAINST CONTRACEPTION. "#Prolife" = a code word for #misogyny. #SemST
0	.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. #clowncar #SemST
0	@BuhayIpaglaban @_msthirdward @blueskies366 "Natural" family planning isn't "planning" at all since it just doesn't work. #SemST
0	@BuhayIpaglaban @blueskies366 There is no "#abortion" involved in taking the pill honey. #womenshealth #abortifacient #fail #SemST
0	@BuhayIpaglaban @blueskies366 The culture of death is "#prolife" who deny pregnant people healthcare. #SemST
0	@BuhayIpaglaban Bullshit multiplied by bullshit is still bullshit. #SemST
0	Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST
0	@Stephen_C_Ward What are they doing with acid signs oh yeah their all tripping #lsd #SemST
0	@_msthirdward @BuhayIpaglaban @blueskies366 It's never been about "life" has it? "#Prolife" are OK with women dying. #SemST
0	@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST
0	@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST
0	I just unfollowed someone because they tweeted about being pro-life #SemST
0	RT @freesafelegal: "Why does the government not hold a referendum on abortion?" asks UN CESCR Mbr Pillay #UNIRL #SemST
0	Leftist, Progressives love 2lie & claim they believe in God, but if they do they would never support #gaymarriage #Obamacare #SemST
0	I'll celebrate #IndependenceDay when EVERYONE in this country is equally free & not living in fear & poverty! #EqualityForAll #p2 #SemST
0	@violencehurts @WomenCanSee The unborn also have rights #defendthe8th #SemST
0	@violencehurts @WomenCanSee The most fundamental right of them all, the right to life, is also a right of the unborn. #SemST
0	Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST
0	#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish "#prolife" laws? #RepealThe8th #SemST
0	Of course an embryo is a person! If it were a puppy there'd be no desire to abort it. #SemST
0	If it's not a person then why do women get invitro? To have a gold fish? #SemST
0	There should be no law or funding which justifies the murder of innocent life. #CCOT #pjnet #SemST
0	In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST
0	Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity #WakeUpAmerica #SemST
0	AntiChoice laws say women can't make their own decisions #SemST
0	There's no place for selfishness when you talk about a human life. Everyone matters! #quotes #truelovewaits #parenting #humanrights #SemST
0	@Jizismyname can't wait to see you on @heyqweentv #JizIsMyName #ElectronicaDrugDealer #Jiz #SemST
0	@FaceTheNation @nytimes where is #SilencedDiscourse for @TheDemocrats #Divisions on #SchoolChoice #Taxes #DoubleStandard #Biased #SemST
0	@Mediaite @CNN where is #SilencedDiscourse for @TheDemocrats questions on #Divisions #SchoolChoice #Taxes #DoubleStandard #Biased #SemST
0	The most horrific violence in America is the war on babies. #SemST
0	If the Pope gave a flying fuck about the poor on his home continent, he'd let them have abortion and birth control. #SemST
0	A much needed 3 days with these guys @rory3burke @Im_Brady missed @JimmahTwittah but what a weekend #SemST
0	if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? #UniteBlue #LibCrib #maddow #SemST
0	If #Freewill is good enough for your #god it should be good enough for you. #SemST
0	Hi @HillaryClinton while you are campaigning, 3000 innocent lives were killed by your pals #rednationrising #uniteblue #SemST
0	Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. #ProLifeProblems #SemST
0	The sanctity of human life is not a woman's issue. #antifeminism #SemST
0	@denisemourges @RepThomasMassie I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST
0	Next time just keep the baby #SemST
0	People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control #SemST
0	The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself #SemST
0	@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness #SemST
0	Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST
0	Some babies die by chance, none should die by choice! #SemST
1	I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST
1	I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST
0	@Fungirl3part2 repent wen u commit a grave act like murder of a baby did u #abort ur baby?yes? then YOU repent! #hell s 4 eternity #SemST
1	Helping achieve repro. justice 1 step @ a time. #abfunds #love #compassion #abortionrights #nnaf #SemST
0	@LifeSite Right, where are the pre-born women's rights? #allLivesMatter #equalRights #SemST
0	I will fight for the unborn! #SemST
1	@nosilentsprings And an even worse place from which to make medical decisions FOR OTHER PEOPLE #mybodymychoice #notyours #notgovt #SemST
1	#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy #SemST
0	Liberals say I need more tolerance. I say screw tolerating murder. #AbortionKills #ToleranceIsDeath #SemST
0	@ProWomanChoice @laurawrpie @JaxLeSigh both r #human. 1e u abuse with misinformation (#women) n d other u kill by #baby #SemST
1	@BuhayIpaglaban @laurawrpie Every time I "discuss" with "#prolife" it reaffirms my belief that #antichoice are complete idiots. #SemST
1	Women ARE capable of making decisions #SemST
0	@laurawrpie @ProWomanChoice d real question is. do u even research d side effects of abortion and contraceptives? #KnowYourFacts #SemST
1	Oh you dont like that Im Pro-choice. Pftt. Dont try to force me to be pro-life. Fuck off #sorrynotsorry #SemST
0	Not sure where I stand on God and religion. Still, don't need to be a Christian or religious to be against abortion. #evil #SemST
1	#antichoice NEVER try to police men over sex, but punishing women puts them into a frenzy. #SemST
1	Anti choice laws only effect women. People don't care about things that don't effect men #SemST
1	People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST
1	You can't give the "death penalty" to something not living sentient or autonomous #WarOnWomen #roe42 #reprohealth #SemST
1	@ShowTruth if they made it illegal, people would use coat hangers, and your photos would really be messed up. #letdoctorsdoit #SemST
0	Abortion is genocide - I don't think you know what genocide means. #ygk #SemST
1	Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of "morality". #SemST
1	Pro-life laws only effect women so anti choicers are fine with these laws because the laws are only hurting are females #SemST
1	Anti-choice laws are entirely men controlling women #SemST
1	A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more #SemST
1	What about in cases of rape #SemST
1	Only one can have bodily autonomy #SemST
1	Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST
1	Like 96% of antis don't care about breathing viable persons, and 100% care about embryos more #SemST
1	Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment #SemST
1	This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST
0	Woman's Heartbreaking Letter to Father of Baby She Aborted: "I'm So Very Sorry - LifeNews. Please pray for the men hurt by abortion #SemST
0	We declare that all people have worth and value even if the whole world calls them "unwanted"! #SemST
0	I'm kind of scared for the elderly in our country. In a few years, we'll be aborting them too. #americathesocialist #SemST
0	FYI: Whoopi Goldberg is a feminist hero for her six abortions. #WomenAgainstFeminism #SemST
0	Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb #MiddleAmerica #SemST
1	@ShowTruth YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. #letdoctorsdoit #SemST
0	@XaviPereda @HillaryClinton sorry Hilary but I'm #southern and don't bleed that #rainbow #BleedRed #america #southwillriseagain #SemST
0	Why do people think it's ok to get an abortion... What the fuck is wrong with you? What if your mom aborted you, you sick fuck! #SemST
0	.@JessieLosch There is no such thing as a "safe & alive" abortion because every abortion that goes as intended leaves >= 1 dead #SemST
0	@SenSchumer You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? #tcot #SemST
0	@JonathaASwift @TomAdams9999 They are BOTH alive & human from conception Just earlier phase of life's continuum! @chooseliferacer #SemST
1	Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST
0	C7German: Heaven is our Goal, life is our conquest #socialmedia #technology #catholic #SemST
0	@NBCLA #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST
1	Pro-Choice=Pro-Life. Anti-Choice=Anti-Life. Don't play righteous when you're advocating the endangerment of women. #womensrights #SemST
1	It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife #SemST
1	@paigeymadisonn: 12. something you hate. People who don't believe abortion should be kept safe and sterile. #SemST
1	Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? #SemST
0	@Cody_Fulk92 @ntfem @brettzawesome Actually, child-murder is far worse these days. We live in more savage times. #SemST
1	I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6 #wherestheFP #SemST
0	Looking forward to the protest today. I can't be there long but I hope my signs will. #Kingston #protesters #SemST
0	Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST
1	It very simple .. Let women choose.. #repealthe8th #notacriminal #SemST
1	I cannot believe there are still people in this century who opposed to women having rights over their own bodies! #disgusted #SemST
0	Societies that put to death the weak and vulnerable are more violent. #Nazis #streetgangs #Communists #AssistedSuicide #SemST
0	RT @GuyForChrist: God is the author of life and nobody has the right to take it. #SemST
0	@WomanMDsGuide I thought they wanted less unwed mommas and less abortion. #confused #tcot #feminism #SemST
1	We need more public funding for birth control, condoms and abortions, especially abortions. #budget2015 #Election2016 #SemST
1	I will visit PEI when all women can get a lawful medical abortion on the island. #Cdnpoli #peipoli #womensrights #SemST
0	PRAISE REPORT Two babies savedOne in Dallas TX&in Charlotte NC If we put forth effort with prayer- miracle's happen #SemST
0	@WBCBowie NY pastors need to call their State Senators and stop this barbaric bill!istorture #SemST
0	I support @GovMikeHuckabee because I want to see Planned Parenthood gone. #SemST
1	@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity #SemST
0	DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST
0	Our #TruthTour cont' in the @CityOttawa as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST
1	Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST
0	We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul #SemST
0	@micknugent What nonsense is this colleague of yours writing about?? #everylifematters #SemST
0	@eilistweets Surprised? A poll sponsored by biased @AmnestyIreland was always going to give a pro-abortion result #repealthe8th #SemST
0	@notmuchelse And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST
0	@notmuchelse Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! #SemST
0	@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST
0	Pro Choice? Just choose to kill yourself after your baby is born. #SemST
1	Basically this documentary is "You kill babies so we're going to kill you" Lol the irony of pro-lifers. #aftertiller #SemST
0	#populationcontrol = controlling the incoming generations. that's why there's #demographicwinter #epicfail #philippines #rhlaw. #SemST
0	@bradfischetti just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST
0	Dear America: If only a 3D ultrasound picture could evoke the same emotional response. #lifeisprecious #SemST
0	There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 #SemST
