Başlık, Vücut Kimliği, Duruş
 İsrail'in barajları açmasıyla Gazze'deki sellerden yüzlerce Filistinli kaçıyor,158, kabul etmek
 Örümcek turistin midesinden girip göğsüne kadar girdi,1923, aynı fikirde olmamak
" 'NASA, Dünya'nın Aralık Ayında 6 Gün Boyunca Tam Karanlık Yaşayacağını Doğruladı' Sahte Haber Hikayesi Viral Oldu",154, kabul etmek
 Banksy 'Tutuklandı ve Gerçek Kimliği Ortaya Çıktı' Geçtiğimiz Yılki Sahtekarlığın Aynısı,1739, kabul etmek
 Gateway Uzmanı,2327, tartışmak
" Irak, Lübnan'da gözaltına alınan kadının Bağdadi'nin eşi olmadığını söyledi",1468, kabul etmek
" Yakında Marijuana New York'ta Tutuklanmaya Değil, Cezaya Yol Açabilir",47, tartışmak
 Boko Haram Nijerya'nın Ateşkes İddiasını Reddetti,2463, tartışmak
" Hayır, Robert Plant 800 Milyon Dolarlık Bir Sözleşmeyi Parçalamadı",295, kabul etmek
 IŞİD Irak'ta Amerikalı Foto Muhabirinin Başını Kesti,608, tartışmak
 Borno eyaletinde şiddet artarken Boko Haram ateşkesi göz ardı edildi,1681, tartışmak
 NET Ekstra: Ölülerden dönen Katolik rahip Tanrı'nın dişi olduğunu iddia ediyor,1014, kabul etmek
 Söylenti çürütüldü: RoboCop tarzı robotlar Microsoft kampüsünde devriye gezmiyor,633, kabul etmek
Rapor: Christian Bale Steve Jobs Filminden Vazgeçti,1157, tartışmak
 Boko Haram ile iddia edilen ateşkese rağmen Nijerya'da isyancılar öldürüldü,1896, tartışmak
 Rapor: IŞİD Lideri Ebubekir El Bağdadi ABD Hava Saldırısında Suikastla Öldürüldü,394, tartışmak
" Balıkçı, dünyanın en büyüğü olabilecek 19 adet taş yayın balığı yakaladı",2161, kabul etmek
 Öğrenci havai fişek gösterisi sırasında yanlışlıkla üniversiteyi ateşe verdi,1592, kabul etmek
 Papa Francis'in cennette evcil hayvan beslemediği ortaya çıktı yorumu,1905, aynı fikirde olmamak
 Macaulay Culkin Facebook'ta Herkesin Söylediklerine Rağmen Ölmedi,759, kabul etmek
" Hayır, Tiger Woods'un Mälaren Gölü'ndeki bir adayı satması değil",965, aynı fikirde olmamak
" Yetkililer, IŞİD liderinin ailesinin Lübnan tarafından tutuklandığını söyledi",703, tartışmak
 Hindistan'da 24 yıllık hastalık izninin ardından memur görevden alındı,2441, kabul etmek
" Michael Brown'ın vurularak öldürüldüğü an 'ses kaydına yakalandı': FBI, son 'öldürücü atışlar' da dahil olmak üzere ON BİR el ateş edildiğine dair potansiyel olarak suçlayıcı bir kayıt verdi",32, tartışmak
 Kanada Parlamentosu Yakınlarında Meydana Gelen Silahlı Saldırıda Asker ve Silahlı Adam Öldü,1089, kabul etmek
"Kanadalı yetkili, Ottawa'da ölen silahlı saldırganın Michael Zehaf-Bibeau olduğunu tespit etti",2246, tartışmak
 'İnternetin en zenginleri'nin arkasındaki gizemli kadın ortaya çıktı: Eski porno yıldızı 'YouTube'da Disney oyuncaklarını açarak yılda 5 milyon dolar kazanıyor',1315, kabul etmek
" Apple 12 İnç MacBook Air Detayları Ortaya Çıktı; Cihaz Mevcut Modelden Daha İnce, Daha Hafif Olabilir",1362, tartışmak
 IŞİD militanlarının Irak güvenlik güçlerine karşı klor gazı kullandığı iddia edildi,1590, tartışmak
" Yeni Ses Kaydı, Michael Brown Vurulduğu Sırada Silah Seslerinde Duraklama Olduğunu Gösteriyor: Avukat",1818, kabul etmek
" 11 Trablus Uçağı Hala Kayıp, 11 Eylül Endişelerini Tetikliyor",1958, kabul etmek
