Target,Stance,Text
Biden,1, Başkan Biden'ın sağlıklı tepkisi
Biden,1, Biden iyi bir hafta geçiriyor
Biden,1," Başkan Joe Biden, milyarderler için yeni %20 asgari vergi teklifinde bulunacak"
Biden,1," Cumhuriyetçiler, yoksul insanları umursamadıklarını defalarca gösterdiler. Bu yüzden, benim ifademi nasıl bu kadar çabuk bir şekilde hayır diyerek çöpe attığınızı anlamıyorum."
Biden,-1," Bu yüzden onu birincil eğitime alıştırmak için ortak bir çaba başlatın. Her şey bir gecede gerçekleşmez, ancak yine de bir süreç var ve ne yapılması gerektiğini biliyoruz. Gitmesi gerekiyor."
Biden,0, Bağlıdır. Varlık vergisi gerçek bir anlaşma olurdu.
Biden,1," > Beyaz Saray planı, milyarderlerin tam gelirleri üzerinden veya geleneksel ücret geliri biçimleri ile hisse senedi fiyatlarının yükselmesi gibi gerçekleşmemiş kazançlardan elde ettikleri gelirin birleşimi üzerinden en az yüzde 20 oranında vergi ödemelerini zorunlu kılacaktır. Wapo makalesinden"
Biden,0, Belki arada bir ön seçimde oy verin. Bu bir şeyi değiştirir.
Biden,0, Zenginlere uygulanan yüksek vergilerden şikayet eden bir grup köylü karavanda bekliyor.
Biden,1, Biden milyarderlere %25 vergi teklif edecek
Biden,1," ""Çürük elmalar salkımı bozar ama enfes şarap yapar"" sözünü duydum"
Biden,1," Sağcıların yaygın ifade biçimlerini kötüye kullanma ve bunların tam olarak amaçlananın tersini ifade ettiği konusunda ısrar etme alışkanlığı vardır. ""Birkaç çürük elma bütün grubu bozmamalı"" benim favorimdir çünkü bunu polis suistimali için özür dilemek ve bunun sadece birkaç polis olduğunu söylemek için kullanırlar, oysa gerçek söz, ""Birkaç çürük elma bütün grubu bozar""dır ve bunu hem gerçek hem de mecazi anlamda yaparlar."
Biden,0," Ebeveynlerimden çok daha fazla kazanıyorum, ancak evimin maliyeti 6 kat fazla. Ah ve şu anda yaşadığım ev temelde onlarınkiyle aynı, ancak daha küçük bir bahçesi var."
Biden,0, Gerçekten kelimelerinle resim çiziyorsun ve bundan çok keyif alıyorum lol.
Biden,0, Aman Tanrım! Bir terör saldırısı daha! Yine 20 yıl boyunca günde 200 milyon dolar harcamanın zamanı geldi! murica!!
Biden,1, Böylece onları asıl meseleden uzaklaştırıyorlar.
Biden,1," Biden, çoğu borçlunun 10.000 dolarlık federal öğrenci kredisi borcunu iptal etti"
Biden,0, Sadece ben olmadığıma sevindim. Belki de İngiltere'deyken erişmeye çalıştığım için olduğunu düşündüm. Bir süredir oturum açmadım ve birkaç aydır buradayım.
Biden,0, Joe_Byron@BingBong_fuckyalife.com
Biden,1, Borç iptalinin sadece manşetlere çıktığını ve IBR reformunun planın gerçek özü olduğunu düşünüyorum. Bunu GERÇEKTEN vurgulamaları gerekiyor çünkü bu muhtemelen bir nesildir öğrenci kredilerine yönelik en büyük reform.
Biden,1," Arayıp sormakta bir sakınca yok. Ben şahsen, covid dönemi ödemelerimin iadesini talep etmek için aramadan önce bu öğleden sonraki basın toplantısını bekliyorum."
Biden,1," Vay canına, gelir odaklı geri ödemeleri yeniden düzenlediler. Böylece faiziniz bakiyenizi artırmaya devam etmeyecek."
Biden,0," Megathread: Biden, tüm federal esrar bulundurma suçlarını affediyor ve esrarın federal olarak yeniden planlanması için süreci başlatıyorBiden'ın açıklamasını burada okuyabilirsiniz: [Başkan Biden'ın esrar reformuyla ilgili açıklaması](<---##İlginizi çekebilecek gönderiler GÖNDERİM | ALAN---|----[Biden, uyuşturucuyla mücadeleye yönelik 'başarısız yaklaşımı' sert bir şekilde eleştirerek, düşük seviyeli esrar mahkumiyetleri için toplu af duyurdu]("
Biden,0," Bu, rutubet ruhunu ele geçirmeden önceydi."
Biden,0,Anket: Amerikalıların Çoğu Biden veya Trump'ın Tekrar Aday Olmasını İstemiyor
Biden,0," Yazık, evet, çünkü o tam da ABD'nin ihtiyacı olan şey. Arkasında sağlam bir ekip olsaydı harika şeyler olurdu."
Biden,1," Biden, süper PAC bağışçılarının ifşa edilmesini öngören yasa tasarısını onayladı: 'Karanlık para güveni aşındırıyor'"
Biden,1, Kavanaugh'un borcunu kimin ödediğini bilmek istiyorum.
Biden,1, Biden: ABD güçleri Çin işgali durumunda Tayvan'ı savunacak
Biden,0," Ayrıca ""daha akıllıca çalış, daha çok çalışma""nın da başlıca bir örneği. Kuzey Kore'ye tam anlamıyla gidip, alabildikleri her sağlıklı insanı askeri eğitime dahil etmek, bulabildikleri her yere sığınaklar inşa etmek vb. yerine, kendilerini yüksek teknolojili yeteneklere kaptırdılar. Onları dünya genelinde vazgeçilmez kılmak, yalnızca güvenliklerini garanti altına almaya yardımcı olmakla kalmadı, aynı zamanda halklarının yaşam kalitesini de oldukça iyi hale getirdi. Machiavelli, onların becerikli oyununa gülüyor olurdu."
Biden,1, Birkaç gün önce Zelenskyy'nin Kırım'ın ülkenin geri kalanıyla birlikte Ukrayna kontrolüne geri döneceğinden özellikle bahsettiği bir ses kaydı duydum
Biden,1, Aslında Ukraynalıların kendi havan mermilerini geri aldıklarını okudum - Ukrayna bunları onlarca yıl önce Çin'den almıştı. Ruslar bunları ele geçirmişti ama farklı bir çapa sahip oldukları için kullanamıyorlardı ya da buna benzer bir şeydi
Biden,1," Biden, Enflasyon Azaltma Yasası'nı imzalayarak asgari %15 kurumlar vergisi oranı belirledi"
Biden,1," Cumhuriyetçiler bu açığı kapatmaktan yana olduklarını iddia ediyorlar. Bunu neden ayrı bir yasa tasarısına dönüştürmediklerini bilmiyorum, böylece bunu kanıtlayabilirler."
Biden,1," Biden, Kongre'yi Roe v. Wade'i yasalaştırmaya çağırıyor"
Biden,0, Yardımımızı auntienetwork'te memnuniyetle karşılıyorlar
Biden,0," Yazık ki seçmenler Demokratları 17 ayda her şeyi güllük gülistanlık yapmadıkları için cezalandırmaya kararlılar. Asıl ironi şu ki, bu seçmenler Cumhuriyetçileri iktidara getirdiğinde düzeltmek istedikleri şeyin düzelme şansı yok."
Biden,1," Haklısın. Halkın iradesi kesinlikle burada yansıtılıyor, insanların çoğunluğu, haklarını istedikleri zaman ellerinden alabilen altı cübbeli ihtiyarlar tarafından yönetilmeyi seviyor."
Biden,1, Evet yapabilirler
Biden,1," Mart 2020'den önceki dönemi hatırlamıyor musunuz? Mart 2020'den önceki her şeyin bir ömür önceymiş gibi göründüğünü biliyorum, ancak Biden'ın arkasındaki konsolidasyondan önce Bernie POC ile kazanıyordu ve son derece iyi gidiyordu. Yani ifadeniz tarihsel kayıtlardan açıkça yanlış."
Biden,1, Fren yok mu? Ya artık hiçbir şey kutsal değil mi? Kirli oynamak mı istiyorlar? Onlara aynısını yapın. Fox ve diğer muhafazakar medyanın yayından kaldırılmasının yollarını bulalım. Politikacılarının hilelerini ve başarısızlıklarını seçmenlerin yüzüne vurmanın yollarını bulalım. Dedektifler bulup kişisel işlerini ve çevrimiçi yorumlarını araştırsın ve onları sürekli PR saldırısı altında tutsun. Bu iyi saçmalığa son vermenin zamanı geldi.
Biden,1," >Elbette bu boktan bir seçenek, ancak oy vermemek yalnızca Cumhuriyetçilerin seçimi kazanmasını sağlayacak. İşte bu yüzden muhafazakarlar, r/aoc alt başlığı ve r/LateStageCapitalism alt başlığında Biden ve Pelosi'nin gerçek sorunlar olduğu yönündeki saçmalıkların çoğunun oylanmasına yardımcı oluyor (ve Biden'ın şu ana kadarki başarılarını paylaşmaya asla cesaret edemiyorlar çünkü bunlar aslında çok etkileyici)."
Biden,0, Toplama kamplarında çalışırken öğrenci borcuyla ilgili endişelenemezsin! <başını işaret eder>
Biden,1,"Biden, ""NATO topraklarının tam anlamıyla her bir santimini savunacağına"" yemin ediyor. ""5. Madde kutsal bir taahhüttür."""
Biden,1," Biden, ailesiyle birlikte bir film izledikten sonra evsiz bir adamla konuşmak için bir an ayırıyor"
Biden,0,"Biden, Oy Vermedikleri Programdan Para Dilenen 'Sosyalist Cumhuriyetçileri' Eleştiriyor"
Biden,-1, Her demokratın insanlara bunu sürekli hatırlatmaya çalışmaması gerçekten çılgınca
Biden,0," Biden, Polonya'ya füze isabet etmesinin ardından 'acil' toplantı çağrısı yaptı"
Biden,0," Bu. Rusya'nın NATO'dan korkması gereken şey, NATO'nun Rusya'dan korkmasından çok daha fazla. Rusya nükleer olsa bile, NATO onları konvansiyonel silahlar kullanarak yenebilir. Soğuk Savaş'ın sona ermesinden bu yana çok şey değişti."
Biden,0,"Suudi Veliaht Prensi Muhammed bin Selman, Biden'ın ulusal güvenlik danışmanı Cemal Kaşıkçı'nın vahşice öldürülmesini gündeme getirdiğinde ona 'bağırmaya' başladı, habere göre"
Biden,0," Homelander oldukça zeki ve karizmatik, diğer adam sağduyuyla boğuşuyor gibi görünüyor"
Biden,0," Hayır, hayır - Saddam'dı. Bush-the-lesser'ın babasını öldürmeye çalıştı! Yani, kitle imha silahları vardı! Yani, 11 Eylül'de bize saldırdı! Yani, El Kaide ile ideolojik bir bağı vardı! Yani... Evet, doğru, Suudiler 11 Eylül'de bizi arkadan bıçakladı. Ama kimse bundan bahsetmiyor."
Biden,-1," Suudi hükümetini suçlayamayacağınız fikri, hükümetlerinin kelimenin tam anlamıyla çılgınca zengin insanlardan oluşan bir aile olduğu düşünüldüğünde çılgınca. Ayrıca, eğer Afganistan'ı bu yüzden işgal ettiysek, o zaman neden bin Ladin'i on yıldır barındıran Pakistan'ı işgal etmedik? Sadece onları cezalandırmak için mi? Deli olduğumuz için ülkeyi mahvedelim mi?"
Biden,0, Biden kürtaj erişimini korumak için yürütme eylemi duyuracak
Biden,0," > Anladığım kadarıyla bu, Uygun Fiyatlı Bakım Yasası kapsamındaki kürtaj hapı, doğum kontrolü ve rahim içi araç erişimini de kapsayacak şekilde koruma kapsamını genişletecek. Bir dakika, yani bunlar daha önce kapsam dahilinde değil miydi?"
Biden,0," Evet, birçok insan başkanın mutlak yetkiye sahip olmadığını anlamıyor gibi görünüyor."
Biden,0, Hala yapıyorsun. Bizim kazanmamızı istemiyor musun?
Biden,0," Başkan Biden: ""Bankalardaki yatırımcılar korunmayacak. Bilerek bir risk aldılar ve risk karşılığını vermediğinde yatırımcılar paralarını kaybettiler. Kapitalizm böyle işler."""
Biden,0," Koşu ayakkabıları...terleme atölyelerinin yanı sıra ucuz olmayı örtbas etmek için pazarlamayı kullanma teşviki de var.Bulaşık makineleri onları etkisiz kılan berbat bir sabun dağıtım sistemini teşvik ediyor. Bu, su verimliliği standartlarından sorumlu tutuluyor.Video oyunları: çıtırtı, canlı servis saçmalığı, çeyrek kazanmak için işten çıkarmalar."
Biden,1," Biden, ara seçimlere 2 ay kala nadir görülen bir televizyon programında 'MAGA Cumhuriyetçileri'ni sert bir dille eleştirdi: 'Amerika'da siyasi şiddete yer yok'"
Biden,0," Biden, Yüksek Mahkeme'nin Roe v. Wade kararını bozması halinde eşcinsel evliliğin bir sonraki adım olacağını öngörüyor"
Biden,0," Trump, Biden'ı ""Tamamen Dengesiz"" Konuşmasında ""Devletin Düşmanı"" Olarak Adlandırdı. Bir avukat, ""Bu, basitçe, yerli teröristleri FBI ajanlarını ve Biden yönetiminin üyelerini öldürmeye teşvik etmeyi amaçlayan bir konuşmadır,"" dedi."
Biden,0," Faşistleri ırklar ve cinsiyetler gibi korunan bir sınıf haline getirmeye ne kadar zaman kala merak ediyorum. Bu korkunç ayrımcılık, modanın yüzü"
Biden,0, peki bu adam neden hapiste değil?
