Target,Stance,Text
SpaceX,0," Aman Tanrım, SpaceX patlaması göründüğünden çok daha kötüydü."
SpaceX,-1, Bir şeyleri tamir edip bir pad'i yeniden inşa etmek en fazla 2 hafta sürebilir. Pad'in yapımında muhteşem bir şey yoktu (bu kadar kolay parçalanmasının sebeplerinden biri de budur) Sanki burada bir şeyler bildiklerini düşünen bir sürü Kerbal oyuncusu var.
SpaceX,0," Ne tür beton kullandıklarını bilmiyorum ama normal beton çatlar ve yeterince sıcak bir meşale ile patlatıldığında kendiliğinden patlar. Küçük bir ölçekte beton bir zemini meşalele yaktım ve beton parçaları uçuştu. Bu, daha büyük ölçekte olanın aynısı gibi görünüyor."
SpaceX,-1," Bir roket motoru inşa etmekle karşılaştırıldığında, fırlatma rampası kesinlikle çocuk oyuncağı. Üretilen itme miktarı, egzoz sıcaklığı, hatta motorlardan gelen hava akışı hakkında zaten çok yakın bir tahmininiz var. Tahmin edilmesi imkansız olan büyük bir bilinmezlik gibi değil. Elon'un aptalca kararlarını savunmak için yardımınıza ihtiyacı yok."
SpaceX,0," Hayır, hayır. Bunu simüle edip matematiksel olarak hesaplıyorsunuz. Mühendisler biliyordu ve maliyet tasarrufu önlemi olarak kesildi. Bu, bir roketin kullanıldığı ilk sefer değil."
SpaceX,0, Hammond'ı oynayan aktör onu kitaptaki Hammond'dan çok daha sevimli gösterdi
SpaceX,0," Ayn Rand Vakfı'ndan üniversite bursu için başvuruda bulunduğumu ve yapmam gereken tek şeyin The Fountainhead'i okumak olduğunu hatırlıyorum. Kitabı kendimi zorlayarak okumak zorunda kalmama sinirli değilim, sorun bu değil -- aksine, burs yerine bana sadece Atlas Silkindi'nin bir kopyasını verdiler."
SpaceX,0, SpaceX Starship'in İlk Uçuş Testi - Fırlatma
SpaceX,0, Bir zamanlar bunu satan bir dükkânı vardı...
SpaceX,-1," NASA'nın yayınında kameraman, ""Az önce Kerbal mi oldu?"" diye bağırarak beni döndürdü"
SpaceX,-1," Kelimenin tam anlamıyla bir roket bilimcisi değilim ve belli ki onlar zaten her şeyi düşünmüşler, ancak fırlatma rampasıyla ilgili beni şaşırtan bir şey buydu. Hendek yok, neredeyse yükseltilmiş bir yapı ve inanılmaz derecede güçlü bir roket? Her seferinde onu yeniden inşa etmeleri gerekecek ve ayrıca dev metal ve beton parçalarının sıçrayıp sitenin etrafındaki motorlara veya önemli ekipmanlara çarpmaması için dua edecekler. Bunu düşünen ilk kişi olmadığımı ve onların tam anlamıyla roket bilimcileri olduğunu biliyorum, ancak bu sadece riskli görünüyor."
SpaceX,-1, Roketin yaptığı döngüler etkileyici ama bunun amaçlanan bir özellik olduğunu düşünmüyorum
SpaceX,1," Bu tür bir roketin aşırı mühendisliğinin söylenmesi gereken bir yanı var. Yeniden kullanılabilir olması nedeniyle verimlilikte zaten büyük bir artış var. Biraz aşırı mühendislik yapılması, aksi takdirde tamamen kayba yol açacak bazı durumlardan sağ çıkabileceği anlamına gelir. Bu, çok önemli bazı yükleri veya hatta hayatları kurtarabilir."
SpaceX,-1,SpaceX'in dev roketi Teksas'tan fırlatıldıktan birkaç dakika sonra arızalandı | AP Haberleri
SpaceX,0, [Daha önce bu muhteşem TV skeçiyle karşılaşmamış olanların eğlenmesi için.
SpaceX,0, Deney yaptıkları bu rokette patlamayı en iyi senaryo haline getiren farklı bir şey mi var? Fırlatma geçmişlerine pek aşina değilim.
SpaceX,-1," Onu inşa ettikleri anda lol Ayrıca ""Mars'ta üretme"" konusundaki gerçek matematik tam bir palyaço gösterisi. Cehennem, bu Mars konuşmalarının hepsi bir palyaço gösterisi. Bay ""Radyasyon bir sorun değil"""
SpaceX,1," FAA, SpaceX'e devasa Starship roketini fırlatma izni verdi"
SpaceX,1," SpaceX, bugün Space Force fırlatmasında Falcon Heavy güçlendiricilerinin eş zamanlı inişini gerçekleştirdi"
SpaceX,1," Uzay Sahili'nde yaşıyorum ve ilk Ağır fırlatma için makul trafiğin izin verdiği kadar yakınlaşmak için biraz kuzeye doğru sürdüm. Bu gerçekleştikten sonra, aya inişin insan yaratıcılığının zirvesi olabileceğini düşündüm, ancak aynı anda 2 roketi sanal olarak kalkış yaptıkları yere geri indirmek insan zekasının zirvesi olabilir."
SpaceX,0," Elon Musk'ın SpaceX roketinin patlaması, 'bozulmamış' yaban hayatı sığınağına enkaz yağdırdı"
SpaceX,0," SpaceX'in bakış açısından mantıklı olduğunu kabul ediyorum, ancak yerel hükümet orada inşa etmelerine izin verdiğinde yaban hayatı sığınağının kaybedilmiş gibi davranmak aptalca. Eğer yaban hayatını korumak gerçekten öncelik olsaydı, SpaceX reddedilmeliydi."
SpaceX,1," Yeşil ışık yandı: SpaceX, FAA'dan Starship için fırlatma lisansı aldı"
SpaceX,0," Geçmişte insanlar veya gruplar, tam mahkeme bir duruşma yapana kadar, genellikle birkaç gün içinde, bir yargıca durdurma emri vermesi için dilekçe verebilirdi. Bu emrin gerçek bir son karar olması beklenmez, sadece hukuk sistemine, tartışılan konunun tüm taraflarını gerçekten dinlemesi ve herhangi bir mahkeme veya kurum önünde daha resmi bir duruşma yapılması için bir neden olup olmadığına karar vermesi için zaman tanımaktır."
SpaceX,0," Birisi Matt Lowne'u arasın, Blunderbirds'e ihtiyacımız olabilir."
SpaceX,0," Avrupa, Rus roketlerinin yerini Musk'ın SpaceX'ine kaptırdı"
SpaceX,0, 3 Falcon Heavy bir araya getirildi.
SpaceX,0, Ariane 6 artık demode oldu
SpaceX,1," >Hindistan'ı düşünüp düşünmediklerini bilmiyorum. Roketleri çok ucuz. O noktada ESA ve Arianespace, Ariane 6'nın faaliyete geçmesini bekleyebilir. Umarım bu 2023'ün başlarında gerçekleşir. Ayrıca Arianespace'in hala Vega-C'si var, yani seçenekleri yok değil ancak daha büyük yükler için Ariane 6 hazır olana kadar geçici bir çözüm bulmaları gerekiyor. Ve SpaceX tartışmasız bu amaç için en uygun şirket."
SpaceX,1," Evet, bu iyi bir şey ama hala bir şekilde rekabet var. Bu hızla devam ederlerse ve endüstrinin geri kalanı hala hiçbir şey yapmazsa, 5-10 yıl içinde durum böyle olmayabilir. Rekabet ortadan kalkarsa yenilik yapma isteği azalır. Rocketlab'ın Neutron'u devreye sokmasını ve New Glenn'in işe koyulmasını gerçekten umuyorum çünkü şu anda SpaceX'e rakip olabilecek tek iki kişi bunlar."
SpaceX,1, 21 SpaceX Starlink uydusu fırlatılmaya hazır.
SpaceX,0," SpaceX, yörünge test uçuşu öncesinde Starship prototipinin 6 motorunu da çalıştırdı (video)"
SpaceX,0," Tam da bahsettiğim nitelikteki ""SLS asla işe yaramaz"" planlarını anlatıyorsun."
SpaceX,0, [OC] SpaceX aynı güçlendiriciyle rekor kıran 13. kez fırlatma gerçekleştirdi
SpaceX,0, Güçlendiricinin beklenen can damarı nedir? Kaç tane daha fırlatma yapabilir?
SpaceX,1, [@elonmusk] Heyecan verici bir Starship test lansmanı için @SpaceX ekibini tebrik ediyorum! Birkaç ay sonraki test lansmanı için çok şey öğrendim.
SpaceX,0, Ön tarafı düşmedi
SpaceX,1," SpaceX, rekor sayıda 14 raptor motoruyla Süper Ağır güçlendirici statik ateşleme gerçekleştirdi."
SpaceX,1," SpaceX, tek bir mürettebatlı Boeing Starliner'dan önce 10 mürettebatlı görev başlatmış olacak. Planlanan SpaceX mürettebatlı uçuş takvimi tutarsa, Boeing'in Starliner COTS-1'i ilkini fırlatmadan önce ISS'ye ve/veya LEO'ya 10 mürettebatlı uçuş başlatmış olacaklar (şu anda planlanandan 6 yıl sonra)! Demo-2, Crew-1, Crew-2, Crew-3, Crew-4, Crew-5, Crew-6, AX-1, AX-2 ve Inspiration 4. Boeing'in yeterince uzun süren gecikmeleri olursa, SpaceX 11 mürettebatlı göreve (Polaris Dawn'ı da ekleyerek) imza atacak. Benim hesabıma göre bu, uzaya 35 kişi göndermek anlamına da geliyor."
SpaceX,0," >İki mürettebatlı seçeneği tutmanın akıllıca bir seçim olduğunu düşünüyorum. Tüm başarılarına rağmen, tek bir F9 veya Crew Dragon sorunu olması yeterli ve aniden ABD tekrar tamamen yere serilmiş oluyor. Riske giremez. Sovyetler/Ruslar için tek bir mürettebatlı seçeneğe güvenmek gayet iyi sonuç verdi ve bunu yarım yüzyıldır yapıyorlar."
SpaceX,0," Çevreciler, Teksas'taki SpaceX fırlatma lisansı için FAA'ya dava açtı"
SpaceX,0, Ne yazık ki bu planlardan vazgeçtiler. Fırlatma rampalarına dönüştürülmesi planlanan petrol platformları geçen yıl tekrar satıldı ve muhtemelen şimdi hurdaya çıkarılacaklar.
SpaceX,0, SpaceX artık ana rakibinin fırlattığı her rokete karşılık 10 roket fırlatıyor
SpaceX,1, SpaceX 36 saatte 110 uyduyu yörüngeye yerleştirdi. Elon Musk şirketi 3 başarılı yörünge görevinden dolayı tebrik etti
SpaceX,1, SpaceX'in Falcon roket ailesi 200'üncü başarılı göreve ulaştı
SpaceX,1," Medya, diğer fırlatıcılar ve koltukta oturan uzmanların başlangıçtaki moral bozucu sürekli eleştirilerini ve yorumlarını hatırlayacak kadar yaşlıyım. ""Başarılı bir fırlatma yaptıkları için iyi ama ULA'nın yüzden fazla, Atlas'ın yüzden fazla, SpaceX'in bir başarısızlıktan sonra uzun süre dayanması mümkün değil, şu an sahip olduğumuz kadar güvenilir olmaları onlarca yıl sürecek."" vb. vb. gibi ifadeleri kaç kez duyduğumu anlatamam. Sonra ""Bir roketi indirmek mi? Neden fırlatma sırasında havaya uçurmamaya odaklanmıyorsun ve büyük çocukların son teknoloji üzerinde çalışmasına izin vermiyorsun, bu bir hayal."" geldi. Şimdi SpaceX'in bazı şirketlerin ve ülkelerin FIRLATMALARINDAN daha fazla İNİŞİ var. İnsanlar yeni çocuk hakkında, rekor bir hızda etrafınızda tekerlekler çizene kadar gerçekten saçmalamayı seviyorlar. Sadece son on yılda neler başardıkları inanılmaz."
SpaceX,1, Evet ama bu hızlı dönüşlerde insanlı uzay uçuşu yoktu.
SpaceX,1,"Roketlerin yeniden kullanılabilirliği, SpaceX'in önemli ve ""genellikle göz ardı edilen"" bir avantajına yol açtı: ""Donanımınızı geri almak ve beklemediğiniz şeyleri öğrenmek güvenilirlik açısından inanılmaz bir avantaj... Roketlerini kurtaramayan şirketler, bir gün kendilerini ısıracak, bilmedikleri sorunlarla karşı karşıya kalıyorlar."""
SpaceX,1," SpaceX hayranlarının çoğunluğunun bu konu hakkındaki görüşleri böyle. Ne yazık ki, insanlar şirketlerini destekleyen her şeyin o aşağılık adamla cinsel ilişkiye girmenin doğrudan sonucu olduğu fikrine tutunuyor gibi görünüyor. Bu aşırı çocukça ve sinir bozucu."
SpaceX,0," Kâr odaklı bir örgüt, siyaset odaklı bir örgütten daha fazla sonuç odaklıdır."
SpaceX,-1," SpaceX Starship, aşama ayrımı başarısız olduktan sonra patladı"
SpaceX,1," Hayır. Amaçları platformdan uzaklaşmaktı. Başardılar. Bunun işe yaramayacağını biliyorlardı. SpaceX bu fırlatmayı inceleyecek, her şeyi düzeltecek, sonra bir sonrakini gönderecek. Ve tekrar tekrar, teknoloji mükemmel olana kadar. Bu roket o kadar muazzam ve ağır ki, hiç kimse uçup uçamayacağından %100 emin değildi. Bu fırlatma, fiziksel olarak mümkün olduğunun kanıtı içindi. En azından platformdan uzaklaşmak istediler, aksi takdirde roket etrafındaki her şeyi nükleer bombayla yok ederdi."
SpaceX,1," Başarısızlık, hiç yanmaması mı yoksa hemen rampada patlaması mı olurdu. Ancak gerçekte bu senaryolar tasarım ve sistem geliştirme için inanılmaz derecede önemli bilgiler olurdu. SATURN V'in iki katı güce sahip bir roketi başarıyla fırlattılar. Yani artık başarılı bir şekilde fırlatılan en güçlü roket rekoruna sahipler. Ve sadece 5 motorları arızalandı. Yani bunu %15'lik bir motor arızası oranıyla yaptılar. İnanılmaz derecede sağlam."
SpaceX,-1, SpaceX Starship patlaması partikül maddeyi kilometrelerce uzağa yaydı
SpaceX,1,"SpaceX onuncu mürettebatlı görevi, üçüncü tamamen ticari uçuşu başlattı | SpaceX hızla dünyanın en üretken insanlı uzay uçuşu sağlayıcısı haline geldi."
SpaceX,0, SpaceX Starship fırlatıldıktan kısa bir süre sonra patladı
SpaceX,0, Hangi diğer roket ailesine karşı?
SpaceX,-1, SpaceX'in dev roketi Teksas'tan fırlatıldıktan dakikalar sonra patladı
SpaceX,0," Çarpışma testi videolarını izlediğinizde ""lol, bu arabanın ön tarafı buruşmuş. Aptal araba."" diyeceğinize bahse girerim."
